 ,Label,Area,region,group_ID,culture_ID,group,count,batch_name,norm_count_by_sham
4,middle_ch02-CA1-raw.tif,0.001,CA1,1,1,sham,26,1101,1.223529411764706
4,middle_ch02-CA1-raw.tif,0.003,CA1,1,2,sham,34,1101,1.6
4,middle_ch02-CA1-raw.tif,0.002,CA1,1,3,sham,15,1101,0.7058823529411765
4,middle_ch02-CA1-raw.tif,0.002,CA1,1,4,sham,10,1101,0.47058823529411764
4,middle_ch02-CA1-raw.tif,0.003,CA1,3,1,rMS,120,1101,5.647058823529412
4,middle_ch02-CA1-raw.tif,0.002,CA1,3,2,rMS,9,1101,0.4235294117647059
3,middle_ch02-CA1-raw.tif,0.003,CA1,3,3,rMS,18,1101,0.8470588235294118
4,middle_ch02-CA1-raw.tif,0.003,CA1,3,4,rMS,63,1101,2.9647058823529413
3,middle_ch02-CA3-raw.tif,0.001,CA3,1,1,sham,37,1101,1.3454545454545455
3,middle_ch02-CA3-raw.tif,0.001,CA3,1,2,sham,7,1101,0.2545454545454545
3,middle_ch02-CA3-raw.tif,0.002,CA3,1,3,sham,21,1101,0.7636363636363637
3,middle_ch02-CA3-raw.tif,0.002,CA3,1,4,sham,45,1101,1.6363636363636365
3,middle_ch02-CA3-raw.tif,0.004,CA3,3,1,rMS,195,1101,7.090909090909091
2,middle_ch02-CA3-raw.tif,0.002,CA3,3,2,rMS,20,1101,0.7272727272727273
4,middle_ch02-CA3-raw.tif,0.002,CA3,3,3,rMS,29,1101,1.0545454545454545
3,middle_ch02-CA3-raw.tif,0.002,CA3,3,4,rMS,74,1101,2.690909090909091
2,middle_ch02-DG-raw.tif,0.0008278,DG,1,1,sham,4,1101,0.3404255319148936
2,middle_ch02-DG-raw.tif,0.0007317,DG,1,2,sham,11,1101,0.9361702127659575
2,middle_ch02-DG-raw.tif,0.0009974,DG,1,3,sham,12,1101,1.0212765957446808
2,middle_ch02-DG-raw.tif,0.002,DG,1,4,sham,20,1101,1.702127659574468
2,middle_ch02-DG-raw.tif,0.002,DG,3,1,rMS,71,1101,6.042553191489362
3,middle_ch02-DG-raw.tif,0.001,DG,3,2,rMS,34,1101,2.893617021276596
2,middle_ch02-DG-raw.tif,0.001,DG,3,3,rMS,142,1101,12.085106382978724
2,middle_ch02-DG-raw.tif,0.002,DG,3,4,rMS,41,1101,3.4893617021276597
1,middle_ch02-EC-raw.tif,0.004,EC,1,1,sham,19,1101,0.5066666666666667
1,middle_ch02-EC-raw.tif,0.004,EC,1,2,sham,22,1101,0.5866666666666667
1,middle_ch02-EC-raw.tif,0.004,EC,1,3,sham,43,1101,1.1466666666666667
1,middle_ch02-EC-raw.tif,0.003,EC,1,4,sham,66,1101,1.76
1,middle_ch02-EC-raw.tif,0.006,EC,3,1,rMS,73,1101,1.9466666666666668
1,middle_ch02-EC-raw.tif,0.005,EC,3,2,rMS,74,1101,1.9733333333333334
1,middle_ch02-EC-raw.tif,0.005,EC,3,3,rMS,34,1101,0.9066666666666666
1,middle_ch02-EC-raw.tif,0.004,EC,3,4,rMS,52,1101,1.3866666666666667
4,middle_ch02-CA1-raw.tif,0.002,CA1,0,1,sham-24h,17,1903,0.8947368421052632
4,middle_ch01-CA1-raw.tif,0.001,CA1,0,2,sham-24h,10,1903,0.5263157894736842
4,middle_ch01-CA1-raw.tif,0.001,CA1,0,3,sham-24h,5,1903,0.2631578947368421
4,middle_ch01-CA1-raw.tif,0.002,CA1,0,4,sham-24h,18,1903,0.9473684210526315
4,middle_ch01-CA1-raw.tif,0.002,CA1,0,5,sham-24h,21,1903,1.105263157894737
4,middle_ch01-CA1-raw.tif,0.002,CA1,0,6,sham-24h,43,1903,2.263157894736842
4,middle_ch01-CA1-raw.tif,0.002,CA1,1,1,24h,30,1903,1.5789473684210527
4,middle_ch01-CA1-raw.tif,0.002,CA1,1,2,24h,2,1903,0.10526315789473684
4,middle_ch01-CA1-raw.tif,0.002,CA1,1,3,24h,13,1903,0.6842105263157895
4,middle_ch01-CA1-raw.tif,0.002,CA1,1,4,24h,7,1903,0.3684210526315789
4,middle_ch01-CA1-raw.tif,0.002,CA1,1,5,24h,9,1903,0.47368421052631576
4,middle_ch01-CA1-raw.tif,0.002,CA1,1,6,24h,18,1903,0.9473684210526315
3,middle_ch02-CA3-raw.tif,0.0008751,CA3,0,1,sham-24h,5,1903,0.32967032967032966
3,middle_ch01-CA3-raw.tif,0.001,CA3,0,2,sham-24h,8,1903,0.5274725274725275
2,middle_ch01-CA3-raw.tif,0.001,CA3,0,3,sham-24h,18,1903,1.1868131868131868
3,middle_ch01-CA3-raw.tif,0.002,CA3,0,4,sham-24h,14,1903,0.9230769230769231
3,middle_ch01-CA3-raw.tif,0.002,CA3,0,5,sham-24h,18,1903,1.1868131868131868
3,middle_ch01-CA3-raw.tif,0.002,CA3,0,6,sham-24h,28,1903,1.8461538461538463
3,middle_ch01-CA3-raw.tif,0.001,CA3,1,1,24h,13,1903,0.8571428571428572
3,middle_ch01-CA3-raw.tif,0.001,CA3,1,2,24h,10,1903,0.6593406593406593
3,middle_ch01-CA3-raw.tif,0.002,CA3,1,3,24h,13,1903,0.8571428571428572
3,middle_ch01-CA3-raw.tif,0.001,CA3,1,4,24h,12,1903,0.7912087912087913
3,middle_ch01-CA3-raw.tif,0.001,CA3,1,5,24h,7,1903,0.46153846153846156
3,middle_ch01-CA3-raw.tif,0.001,CA3,1,6,24h,6,1903,0.39560439560439564
2,middle_ch02-DG-raw.tif,0.0008253,DG,0,1,sham-24h,4,1903,0.375
2,middle_ch01-DG-raw.tif,0.0008996,DG,0,2,sham-24h,12,1903,1.125
3,middle_ch01-DG-raw.tif,0.0006859,DG,0,3,sham-24h,18,1903,1.6875
2,middle_ch01-DG-raw.tif,0.0008486,DG,0,4,sham-24h,14,1903,1.3125
2,middle_ch01-DG-raw.tif,0.0007318,DG,0,5,sham-24h,10,1903,0.9375
2,middle_ch01-DG-raw.tif,0.0006227,DG,0,6,sham-24h,6,1903,0.5625
2,middle_ch01-DG-raw.tif,0.0007444,DG,1,1,24h,4,1903,0.375
2,middle_ch01-DG-raw.tif,0.0005894,DG,1,2,24h,1,1903,0.09375
2,middle_ch01-DG-raw.tif,0.001,DG,1,3,24h,16,1903,1.5
2,middle_ch01-DG-raw.tif,0.001,DG,1,4,24h,23,1903,2.15625
2,middle_ch01-DG-raw.tif,0.0005277,DG,1,5,24h,5,1903,0.46875
2,middle_ch01-DG-raw.tif,0.0008165,DG,1,6,24h,13,1903,1.21875
1,middle_ch02-EC-raw.tif,0.003,EC,0,1,sham-24h,78,1903,0.997867803837953
1,middle_ch01-EC-raw.tif,0.003,EC,0,2,sham-24h,81,1903,1.0362473347547974
1,middle_ch01-EC-raw.tif,0.002,EC,0,3,sham-24h,85,1903,1.0874200426439231
1,middle_ch01-EC-raw.tif,0.003,EC,0,4,sham-24h,74,1903,0.9466950959488273
1,middle_ch01-EC-raw.tif,0.003,EC,0,5,sham-24h,73,1903,0.9339019189765457
1,middle_ch01-EC-raw.tif,0.004,EC,0,6,sham-24h,78,1903,0.997867803837953
1,middle_ch01-EC-raw.tif,0.003,EC,1,1,24h,26,1903,0.3326226012793177
1,middle_ch01-EC-raw.tif,0.003,EC,1,2,24h,24,1903,0.30703624733475476
1,middle_ch01-EC-raw.tif,0.004,EC,1,3,24h,143,1903,1.8294243070362473
1,middle_ch01-EC-raw.tif,0.003,EC,1,4,24h,41,1903,0.5245202558635395
1,middle_ch01-EC-raw.tif,0.004,EC,1,5,24h,69,1903,0.88272921108742
1,middle_ch01-EC-raw.tif,0.003,EC,1,6,24h,38,1903,0.4861407249466951
1,middle_ch02-CA1-raw.tif,0.002,CA1,1,1,sham,98,2911,1.4681647940074907
4,middle_ch02-CA1-raw.tif,0.002,CA1,1,2,sham,117,2911,1.752808988764045
4,middle_ch02-CA1-raw.tif,0.001,CA1,1,3,sham,7,2911,0.10486891385767791
4,middle_ch02-CA1-raw.tif,0.003,CA1,1,4,sham,45,2911,0.6741573033707865
4,middle_ch02-CA1-raw.tif,0.002,CA1,2,1,rMS,104,2911,1.5580524344569289
4,middle_ch02-CA1-raw.tif,0.002,CA1,2,2,rMS,110,2911,1.647940074906367
4,middle_ch02-CA1-raw.tif,0.002,CA1,2,3,rMS,250,2911,3.745318352059925
4,middle_ch02-CA1-raw.tif,0.002,CA1,2,4,rMS,188,2911,2.816479400749064
3,middle_ch02-CA1-raw.tif,0.002,CA1,6,1,sham-24h,57,2911,0.6909090909090909
4,middle_ch02-CA1-raw.tif,0.001,CA1,6,2,sham-24h,103,2911,1.2484848484848485
4,middle_ch02-CA1-raw.tif,0.002,CA1,6,3,sham-24h,117,2911,1.4181818181818182
4,middle_ch02-CA1-raw.tif,0.002,CA1,6,4,sham-24h,53,2911,0.6424242424242425
2,middle_ch02-CA1-raw.tif,0.004,CA1,7,1,24h,225,2911,2.727272727272727
4,middle_ch02-CA1-raw.tif,0.002,CA1,7,2,24h,83,2911,1.006060606060606
1,middle_ch02-CA1-raw.tif,0.004,CA1,7,3,24h,95,2911,1.1515151515151516
4,middle_ch02-CA1-raw.tif,0.002,CA1,7,4,24h,101,2911,1.2242424242424241
2,middle_ch02-CA3-raw.tif,0.002,CA3,1,1,sham,10,2911,0.36363636363636365
3,middle_ch02-CA3-raw.tif,0.002,CA3,1,2,sham,41,2911,1.490909090909091
3,middle_ch02-CA3-raw.tif,0.002,CA3,1,3,sham,11,2911,0.4
3,middle_ch02-CA3-raw.tif,0.003,CA3,1,4,sham,48,2911,1.7454545454545454
2,middle_ch02-CA3-raw.tif,0.002,CA3,2,1,rMS,70,2911,2.5454545454545454
3,middle_ch02-CA3-raw.tif,0.002,CA3,2,2,rMS,41,2911,1.490909090909091
3,middle_ch02-CA3-raw.tif,0.001,CA3,2,3,rMS,28,2911,1.018181818181818
3,middle_ch02-CA3-raw.tif,0.002,CA3,2,4,rMS,60,2911,2.1818181818181817
2,middle_ch02-CA3-raw.tif,0.001,CA3,6,1,sham-24h,18,2911,1.263157894736842
3,middle_ch02-CA3-raw.tif,0.002,CA3,6,2,sham-24h,10,2911,0.7017543859649122
3,middle_ch02-CA3-raw.tif,0.001,CA3,6,3,sham-24h,6,2911,0.42105263157894735
3,middle_ch02-CA3-raw.tif,0.001,CA3,6,4,sham-24h,23,2911,1.6140350877192982
1,middle_ch02-CA3-raw.tif,0.002,CA3,7,1,24h,28,2911,1.9649122807017543
3,middle_ch02-CA3-raw.tif,0.002,CA3,7,2,24h,37,2911,2.5964912280701755
2,middle_ch02-CA3-raw.tif,0.003,CA3,7,3,24h,37,2911,2.5964912280701755
3,middle_ch02-CA3-raw.tif,0.003,CA3,7,4,24h,83,2911,5.824561403508772
4,middle_ch02-DG-raw.tif,0.000593,DG,1,1,sham,4,2911,0.18823529411764706
2,middle_ch02-DG-raw.tif,0.001,DG,1,2,sham,38,2911,1.7882352941176471
2,middle_ch02-DG-raw.tif,0.001,DG,1,3,sham,2,2911,0.09411764705882353
2,middle_ch02-DG-raw.tif,0.0009587,DG,1,4,sham,41,2911,1.9294117647058824
3,middle_ch02-DG-raw.tif,0.001,DG,2,1,rMS,131,2911,6.1647058823529415
2,middle_ch02-DG-raw.tif,0.001,DG,2,2,rMS,106,2911,4.988235294117647
2,middle_ch02-DG-raw.tif,0.0009593,DG,2,3,rMS,96,2911,4.517647058823529
2,middle_ch02-DG-raw.tif,0.002,DG,2,4,rMS,76,2911,3.5764705882352943
1,middle_ch02-DG-raw.tif,0.0009529,DG,6,1,sham-24h,19,2911,1.6888888888888889
2,middle_ch02-DG-raw.tif,0.000819,DG,6,2,sham-24h,7,2911,0.6222222222222222
2,middle_ch02-DG-raw.tif,0.001,DG,6,3,sham-24h,7,2911,0.6222222222222222
2,middle_ch02-DG-raw.tif,0.0009342,DG,6,4,sham-24h,12,2911,1.0666666666666667
4,middle_ch02-DG-raw.tif,0.00076,DG,7,1,24h,11,2911,0.9777777777777777
2,middle_ch02-DG-raw.tif,0.0009873,DG,7,2,24h,24,2911,2.1333333333333333
3,middle_ch02-DG-raw.tif,0.001,DG,7,3,24h,50,2911,4.444444444444445
2,middle_ch02-DG-raw.tif,0.002,DG,7,4,24h,33,2911,2.933333333333333
3,middle_ch02-EC-raw.tif,0.004,EC,1,1,sham,270,2911,1.8685121107266436
1,middle_ch02-EC-raw.tif,0.004,EC,1,2,sham,86,2911,0.5951557093425606
1,middle_ch02-EC-raw.tif,0.006,EC,1,3,sham,111,2911,0.7681660899653979
1,middle_ch02-EC-raw.tif,0.005,EC,1,4,sham,111,2911,0.7681660899653979
1,middle_ch02-EC-raw.tif,0.004,EC,2,1,rMS,352,2911,2.43598615916955
1,middle_ch02-EC-raw.tif,0.004,EC,2,2,rMS,387,2911,2.6782006920415227
1,middle_ch02-EC-raw.tif,0.004,EC,2,3,rMS,197,2911,1.3633217993079585
1,middle_ch02-EC-raw.tif,0.006,EC,2,4,rMS,403,2911,2.7889273356401385
4,middle_ch02-EC-raw.tif,0.004,EC,6,1,sham-24h,173,2911,1.3410852713178294
1,middle_ch02-EC-raw.tif,0.004,EC,6,2,sham-24h,152,2911,1.178294573643411
1,middle_ch02-EC-raw.tif,0.006,EC,6,3,sham-24h,145,2911,1.124031007751938
1,middle_ch02-EC-raw.tif,0.004,EC,6,4,sham-24h,46,2911,0.35658914728682173
3,middle_ch02-EC-raw.tif,0.004,EC,7,1,24h,135,2911,1.0465116279069768
1,middle_ch02-EC-raw.tif,0.004,EC,7,2,24h,170,2911,1.317829457364341
4,middle_ch02-EC-raw.tif,0.006,EC,7,3,24h,290,2911,2.248062015503876
1,middle_ch02-EC-raw.tif,0.004,EC,7,4,24h,306,2911,2.372093023255814
