,batch,culture,group,time,spine_ID,RawIntDen,size_diff,size_diff_normed
1293,21042022,W3C1,control,day4,1,8916.0,-91.0,-0.010206370569762225
1294,21042022,W3C1,control,day4,2,7120.0,-1659.0,-0.23300561797752808
1295,21042022,W3C1,control,day4,3,5156.0,-1298.0,-0.2517455391776571
1296,21042022,W3C1,control,day4,4,9164.0,-6018.0,-0.6567001309471846
1297,21042022,W3C1,control,day4,5,8120.0,-3381.0,-0.4163793103448276
1298,21042022,W3C1,control,day4,6,4711.0,2826.0,0.5998726385056251
1299,21042022,W3C1,control,day4,7,4042.0,1157.0,0.28624443344878775
1300,21042022,W3C1,control,day4,8,4624.0,-233.0,-0.050389273356401386
1301,21042022,W3C1,control,day4,9,4457.0,-2054.0,-0.4608481041059008
1302,21042022,W3C1,control,day4,10,8417.0,-162.0,-0.01924676250445527
1303,21042022,W3C1,control,day4,11,5993.0,-2076.0,-0.34640413816118804
1304,21042022,W3C1,control,day4,12,1626.0,160.0,0.0984009840098401
1305,21042022,W3C1,control,day4,13,12471.0,-8632.0,-0.692165824713335
1306,21042022,W3C1,control,day4,14,4761.0,-782.0,-0.1642512077294686
1307,21042022,W3C1,control,day4,15,3618.0,5537.0,1.5304035378662244
1308,21042022,W3C1,control,day4,16,6327.0,-4630.0,-0.7317844159949423
1309,21042022,W3C1,control,day4,17,3983.0,-1591.0,-0.3994476525232237
1310,21042022,W3C1,control,day4,18,2772.0,-190.0,-0.06854256854256854
1311,21042022,W3C1,control,day4,19,3707.0,2715.0,0.732398165632587
1312,21042022,W3C1,control,day4,20,5169.0,-1136.0,-0.21977171599922615
1313,21042022,W3C1,control,day4,21,1552.0,941.0,0.6063144329896907
1314,21042022,W3C1,control,day4,22,4755.0,-2415.0,-0.5078864353312302
1315,21042022,W3C1,control,day4,23,9521.0,-6953.0,-0.7302804327276546
1316,21042022,W3C1,control,day4,24,1029.0,4268.0,4.147716229348882
1317,21042022,W3C1,control,day4,25,4699.0,-3074.0,-0.6541817407959141
1318,21042022,W3C1,control,day4,26,2587.0,498.0,0.1925009663703131
1319,21042022,W3C1,control,day4,27,2285.0,5344.0,2.338730853391685
1320,21042022,W3C1,control,day4,28,2251.0,-1232.0,-0.5473123056419369
1321,21042022,W3C1,control,day4,29,4252.0,-1999.0,-0.47013170272812793
1322,21042022,W3C1,control,day4,30,6087.0,-2620.0,-0.430425496960736
1323,21042022,W3C1,control,day4,31,13593.0,-10064.0,-0.7403810784962849
1324,21042022,W3C1,control,day4,32,4229.0,-1252.0,-0.29605107590446916
1325,21042022,W3C1,control,day4,33,6823.0,-1514.0,-0.22189652645463873
1326,21042022,W3C1,control,day4,34,6022.0,-2496.0,-0.41448023912321486
1327,21042022,W3C1,control,day4,35,4852.0,-1794.0,-0.3697444352844188
1328,21042022,W3C1,control,day4,36,5626.0,-1698.0,-0.3018130110202631
1329,21042022,W3C1,control,day4,37,5157.0,-1510.0,-0.29280589490013575
1330,21042022,W3C1,control,day4,38,4496.0,-632.0,-0.14056939501779359
1331,21042022,W3C1,control,day4,39,1671.0,1848.0,1.1059245960502693
1332,21042022,W3C1,control,day4,40,1917.0,610.0,0.31820552947313513
1333,21042022,W3C1,control,day4,41,12490.0,-9552.0,-0.7647718174539632
1690,21042022,W3C1,control,day4,1,10813.0,-3001.0,-0.27753629889947284
1691,21042022,W3C1,control,day4,2,2367.0,62.0,0.02619349387410224
1692,21042022,W3C1,control,day4,3,14109.0,-8724.0,-0.6183287263448862
1693,21042022,W3C1,control,day4,4,7090.0,-3542.0,-0.4995768688293371
1694,21042022,W3C1,control,day4,5,17392.0,-9687.0,-0.5569802207911684
1695,21042022,W3C1,control,day4,6,14503.0,-9704.0,-0.6691029442184375
1696,21042022,W3C1,control,day4,7,3293.0,-1121.0,-0.3404190707561494
1697,21042022,W3C1,control,day4,8,7811.0,-4171.0,-0.5339905261810267
1698,21042022,W3C1,control,day4,9,19990.0,-7598.0,-0.38009004502251126
1699,21042022,W3C1,control,day4,10,6656.0,-4055.0,-0.6092247596153846
1700,21042022,W3C1,control,day4,11,4970.0,-3100.0,-0.6237424547283702
1701,21042022,W3C1,control,day4,12,2062.0,794.0,0.3850630455868089
1702,21042022,W3C1,control,day4,13,4400.0,-1757.0,-0.3993181818181818
1703,21042022,W3C1,control,day4,14,17850.0,-7263.0,-0.40689075630252103
1704,21042022,W3C1,control,day4,15,7693.0,7672.0,0.997270245677889
1705,21042022,W3C1,control,day4,16,2604.0,2384.0,0.9155145929339478
1706,21042022,W3C1,control,day4,17,2357.0,676.0,0.28680526092490455
1707,21042022,W3C1,control,day4,18,3464.0,-391.0,-0.11287528868360278
1708,21042022,W3C1,control,day4,19,7230.0,242.0,0.0334716459197787
1709,21042022,W3C1,control,day4,20,4436.0,101.0,0.022768259693417493
1710,21042022,W3C1,control,day4,21,10654.0,-8836.0,-0.8293598648394969
1711,21042022,W3C1,control,day4,22,6746.0,-3349.0,-0.4964423361992292
1712,21042022,W3C1,control,day4,23,5667.0,-3295.0,-0.5814363860949356
1713,21042022,W3C1,control,day4,24,3243.0,-815.0,-0.25131051495528833
1714,21042022,W3C1,control,day4,25,12940.0,-8232.0,-0.6361669242658423
1715,21042022,W3C1,control,day4,26,5848.0,-3031.0,-0.518296853625171
1716,21042022,W3C1,control,day4,27,5478.0,-1200.0,-0.21905805038335158
1717,21042022,W3C1,control,day4,28,2140.0,-661.0,-0.3088785046728972
1718,21042022,W3C1,control,day4,29,2076.0,-318.0,-0.1531791907514451
1719,21042022,W3C1,control,day4,30,5890.0,1325.0,0.22495755517826826
1720,21042022,W3C1,control,day4,31,3350.0,-1134.0,-0.3385074626865672
1721,21042022,W3C1,control,day4,32,5517.0,-195.0,-0.03534529635671561
1722,21042022,W3C1,control,day4,33,4642.0,-1373.0,-0.2957776820336062
1723,21042022,W3C1,control,day4,34,33088.0,-16059.0,-0.4853421179883946
1724,21042022,W3C1,control,day4,35,9732.0,1023.0,0.10511713933415537
2183,21042022,W3C4,control,day4,1,2504.0,-211.0,-0.08426517571884984
2184,21042022,W3C4,control,day4,2,1860.0,485.0,0.260752688172043
2185,21042022,W3C4,control,day4,3,2366.0,-814.0,-0.3440405748098056
2186,21042022,W3C4,control,day4,4,6110.0,8947.0,1.4643207855973814
2187,21042022,W3C4,control,day4,5,2037.0,-467.0,-0.22925871379479626
2188,21042022,W3C4,control,day4,6,977.0,328.0,0.33572159672466734
2189,21042022,W3C4,control,day4,7,2600.0,5542.0,2.1315384615384616
2190,21042022,W3C4,control,day4,8,1055.0,-358.0,-0.33933649289099527
2191,21042022,W3C4,control,day4,9,4382.0,1180.0,0.2692834322227293
2192,21042022,W3C4,control,day4,10,9466.0,-5798.0,-0.6125079230931756
2193,21042022,W3C4,control,day4,11,5353.0,-2104.0,-0.3930506258172987
2194,21042022,W3C4,control,day4,12,4606.0,-2353.0,-0.5108554059921842
2195,21042022,W3C4,control,day4,13,3569.0,-1833.0,-0.5135892406836648
2196,21042022,W3C4,control,day4,14,6682.0,-4688.0,-0.7015863513917988
2197,21042022,W3C4,control,day4,15,4156.0,-788.0,-0.18960538979788258
2198,21042022,W3C4,control,day4,16,1123.0,388.0,0.3455031166518255
2199,21042022,W3C4,control,day4,17,2106.0,-1294.0,-0.6144349477682811
2200,21042022,W3C4,control,day4,18,3143.0,2318.0,0.7375119312758511
2201,21042022,W3C4,control,day4,19,7056.0,-3641.0,-0.516014739229025
2202,21042022,W3C4,control,day4,20,6119.0,-3195.0,-0.5221441411995424
2203,21042022,W3C4,control,day4,21,11165.0,-1460.0,-0.13076578593819974
2204,21042022,W3C4,control,day4,22,14630.0,-1565.0,-0.10697197539302802
2205,21042022,W3C4,control,day4,23,11546.0,-7996.0,-0.6925342109821583
2206,21042022,W3C4,control,day4,24,12483.0,12315.0,0.9865416967075222
2207,21042022,W3C4,control,day4,25,4858.0,11882.0,2.4458624948538494
2208,21042022,W3C4,control,day4,26,1705.0,1852.0,1.086217008797654
2209,21042022,W3C4,control,day4,27,3547.0,1157.0,0.32619114744854805
2210,21042022,W3C4,control,day4,28,1772.0,1.0,0.000564334085778781
2211,21042022,W3C4,control,day4,29,7436.0,-2525.0,-0.3395642818719742
2212,21042022,W3C4,control,day4,30,6131.0,-3256.0,-0.5310716033273528
2213,21042022,W3C4,control,day4,31,14644.0,-10342.0,-0.7062278066102158
2214,21042022,W3C4,control,day4,32,6133.0,-4506.0,-0.7347138431436491
2215,21042022,W3C4,control,day4,33,9099.0,-4452.0,-0.48928453676228156
2216,21042022,W3C4,control,day4,34,4905.0,-1000.0,-0.2038735983690112
2217,21042022,W3C4,control,day4,35,1511.0,3141.0,2.0787557908669756
2218,21042022,W3C4,control,day4,36,2321.0,4259.0,1.834984920292977
2219,21042022,W3C4,control,day4,37,1355.0,-813.0,-0.6
2220,21042022,W3C4,control,day4,38,2947.0,4520.0,1.5337631489650492
2221,21042022,W3C4,control,day4,39,3065.0,-1462.0,-0.4769983686786297
2222,21042022,W3C4,control,day4,40,3227.0,3790.0,1.1744654477843197
2223,21042022,W3C4,control,day4,41,1722.0,96.0,0.05574912891986063
2224,21042022,W3C4,control,day4,42,4757.0,-359.0,-0.07546773176371663
2225,21042022,W3C4,control,day4,43,1719.0,1581.0,0.9197207678883071
2226,21042022,W3C4,control,day4,44,3607.0,4597.0,1.2744663154976434
2227,21042022,W3C4,control,day4,45,1407.0,2643.0,1.8784648187633262
2228,21042022,W3C4,control,day4,46,4686.0,-2402.0,-0.5125906956892873
2229,21042022,W3C4,control,day4,47,5910.0,18173.0,3.0749576988155667
2628,21042022,W3C4,control,day4,1,9550.0,-645.0,-0.06753926701570681
2629,21042022,W3C4,control,day4,2,3475.0,646.0,0.18589928057553956
2630,21042022,W3C4,control,day4,3,5542.0,-1113.0,-0.2008300252616384
2631,21042022,W3C4,control,day4,4,23989.0,5267.0,0.2195589645254075
2632,21042022,W3C4,control,day4,5,7268.0,-3349.0,-0.4607870115575124
2633,21042022,W3C4,control,day4,6,11790.0,-6706.0,-0.5687871077184055
2634,21042022,W3C4,control,day4,7,25907.0,-9044.0,-0.34909483923263984
2635,21042022,W3C4,control,day4,8,12211.0,-8659.0,-0.7091147326181312
2636,21042022,W3C4,control,day4,9,5245.0,1432.0,0.27302192564347
2637,21042022,W3C4,control,day4,10,9596.0,3216.0,0.33513964151729886
2638,21042022,W3C4,control,day4,11,7098.0,2714.0,0.38236122851507465
2639,21042022,W3C4,control,day4,12,8120.0,-4274.0,-0.5263546798029557
2640,21042022,W3C4,control,day4,13,4214.0,-1526.0,-0.36212624584717606
2641,21042022,W3C4,control,day4,14,7626.0,-879.0,-0.11526357199055862
2642,21042022,W3C4,control,day4,15,4360.0,562.0,0.12889908256880733
2643,21042022,W3C4,control,day4,16,7733.0,2328.0,0.3010474589421958
2644,21042022,W3C4,control,day4,17,5238.0,-1674.0,-0.31958762886597936
2645,21042022,W3C4,control,day4,18,20701.0,-9202.0,-0.4445195884256799
2646,21042022,W3C4,control,day4,19,5078.0,7566.0,1.4899566758566365
2647,21042022,W3C4,control,day4,20,4270.0,3316.0,0.7765807962529274
2648,21042022,W3C4,control,day4,21,1932.0,653.0,0.33799171842650105
2649,21042022,W3C4,control,day4,22,4988.0,1929.0,0.38672814755412993
2650,21042022,W3C4,control,day4,23,19268.0,-9320.0,-0.48370354992734066
2651,21042022,W3C4,control,day4,24,10658.0,2443.0,0.2292174892099831
2652,21042022,W3C4,control,day4,25,5314.0,14647.0,2.7563041023710952
2653,21042022,W3C4,control,day4,26,4283.0,14328.0,3.3453187018445014
2654,21042022,W3C4,control,day4,27,10299.0,9620.0,0.9340712690552481
2655,21042022,W3C4,control,day4,28,3437.0,7894.0,2.2967704393366306
2656,21042022,W3C4,control,day4,29,3554.0,2953.0,0.8308947664603263
2657,21042022,W3C4,control,day4,30,7052.0,4405.0,0.6246454906409529
2658,21042022,W3C4,control,day4,31,5993.0,-1572.0,-0.26230602369431005
2659,21042022,W3C4,control,day4,32,17081.0,-10295.0,-0.6027164685908319
2660,21042022,W3C4,control,day4,33,3294.0,5097.0,1.54735883424408
2661,21042022,W3C4,control,day4,34,3592.0,7194.0,2.002783964365256
2662,21042022,W3C4,control,day4,35,7829.0,2041.0,0.26069740707625494
2663,21042022,W3C4,control,day4,36,5910.0,2494.0,0.42199661590524534
2664,21042022,W3C4,control,day4,37,11539.0,-2394.0,-0.20747031805182425
2665,21042022,W3C4,control,day4,38,7544.0,-4744.0,-0.6288441145281018
2666,21042022,W3C4,control,day4,39,16421.0,-7807.0,-0.4754278058583521
3147,21042022,W8C4,control,day4,1,1207.0,599.0,0.49627174813587405
3148,21042022,W8C4,control,day4,2,1169.0,1182.0,1.011120615911035
3149,21042022,W8C4,control,day4,3,13987.0,-2838.0,-0.20290269535997713
3150,21042022,W8C4,control,day4,4,9883.0,14960.0,1.5137104118182738
3151,21042022,W8C4,control,day4,5,9505.0,-3528.0,-0.37117306680694373
3152,21042022,W8C4,control,day4,6,7904.0,-5939.0,-0.7513917004048583
3153,21042022,W8C4,control,day4,7,1805.0,2842.0,1.5745152354570637
3154,21042022,W8C4,control,day4,8,1601.0,1345.0,0.8400999375390381
3155,21042022,W8C4,control,day4,9,12152.0,-2081.0,-0.17124753127057274
3156,21042022,W8C4,control,day4,10,17464.0,5481.0,0.3138456252863033
3157,21042022,W8C4,control,day4,11,9867.0,3858.0,0.39100030404378233
3158,21042022,W8C4,control,day4,12,5933.0,13899.0,2.342659699983145
3159,21042022,W8C4,control,day4,13,5681.0,-3228.0,-0.5682098222143989
3160,21042022,W8C4,control,day4,14,13739.0,-12645.0,-0.9203726617657763
3161,21042022,W8C4,control,day4,15,3469.0,9966.0,2.8728740270971462
3162,21042022,W8C4,control,day4,16,2363.0,-580.0,-0.24545069826491747
3163,21042022,W8C4,control,day4,17,6670.0,-5009.0,-0.7509745127436281
3164,21042022,W8C4,control,day4,18,6332.0,4183.0,0.660612760581175
3165,21042022,W8C4,control,day4,19,19854.0,-8362.0,-0.42117457439306943
3166,21042022,W8C4,control,day4,20,6321.0,-4126.0,-0.6527448188577757
3167,21042022,W8C4,control,day4,21,2118.0,4151.0,1.9598677998111427
3168,21042022,W8C4,control,day4,22,5826.0,764.0,0.13113628561620322
3169,21042022,W8C4,control,day4,23,2031.0,5208.0,2.5642540620384047
3170,21042022,W8C4,control,day4,24,3226.0,3720.0,1.153130812151271
3171,21042022,W8C4,control,day4,25,1754.0,11894.0,6.781071835803877
3172,21042022,W8C4,control,day4,26,14551.0,7697.0,0.5289670813002543
3173,21042022,W8C4,control,day4,27,7359.0,11766.0,1.5988585405625764
3174,21042022,W8C4,control,day4,28,6668.0,-4638.0,-0.6955608878224355
3175,21042022,W8C4,control,day4,29,21618.0,1640.0,0.07586270700342307
3176,21042022,W8C4,control,day4,30,22073.0,-1976.0,-0.08952113441761428
3177,21042022,W8C4,control,day4,31,16032.0,3004.0,0.18737524950099801
3178,21042022,W8C4,control,day4,32,11354.0,-5303.0,-0.4670600669367624
3179,21042022,W8C4,control,day4,33,2677.0,12549.0,4.6877101232723195
3180,21042022,W8C4,control,day4,34,4513.0,-1348.0,-0.29869266563261687
3181,21042022,W8C4,control,day4,35,14820.0,-3138.0,-0.2117408906882591
3182,21042022,W8C4,control,day4,36,20520.0,-1547.0,-0.07538986354775828
3183,21042022,W8C4,control,day4,37,5885.0,-3924.0,-0.6667799490229397
3184,21042022,W8C4,control,day4,38,14920.0,-180.0,-0.012064343163538873
3185,21042022,W8C4,control,day4,39,3293.0,11827.0,3.591557849984816
3186,21042022,W8C4,control,day4,40,6864.0,-3582.0,-0.5218531468531469
3187,21042022,W8C4,control,day4,41,3223.0,2698.0,0.8371082842072604
3188,21042022,W8C4,control,day4,42,5575.0,-3449.0,-0.6186547085201793
3189,21042022,W8C4,control,day4,43,3520.0,1358.0,0.38579545454545455
3190,21042022,W8C4,control,day4,44,5261.0,-1182.0,-0.22467211556738262
3191,21042022,W8C4,control,day4,45,6099.0,-2400.0,-0.39350713231677326
3192,21042022,W8C4,control,day4,46,6017.0,-3246.0,-0.5394714974239654
3193,21042022,W8C4,control,day4,47,3133.0,917.0,0.2926907117778487
3194,21042022,W8C4,control,day4,48,3154.0,-254.0,-0.08053265694356374
3195,21042022,W8C4,control,day4,49,3065.0,3760.0,1.2267536704730833
