segment,length,ave_width,spine_count,spine_density,culture,batch,group,time
W4C1_segment1,36.74,0.88,35,0.95258,W4C1,703,rMS,day0
W4C1_segment2,48.53,1.05,63,1.29823,W4C1,703,rMS,day0
W1C3_segment1,47.14,0.86,53,1.12429,W1C3,2104,rMS,day0
W1C3_segment2,38.82,0.96,50,1.28793,W1C3,2104,rMS,day0
W3C1_segment1,58.23,0.96,59,1.01317,W3C1,2104,sham,day0
W3C1_segment2,51.3,0.91,52,1.01363,W3C1,2104,sham,day0
W3C4_segment1,48.13,0.84,53,1.10115,W3C4,2104,sham,day0
W3C4_segment2,46.05,0.74,48,1.04231,W3C4,2104,sham,day0
W6C2_segment1,28.72,0.96,38,1.3231,W6C2,2104,rMS,day0
W6C2_segment2,33.67,0.89,38,1.12853,W6C2,2104,rMS,day0
W8C4_segment1,51.99,0.78,57,1.09628,W8C4,2104,sham,day0
W4C1_segment1,34.66,0.86,42,1.21168,W4C1,703,rMS,day1
W4C1_segment2,48.53,1.03,44,0.9067,W4C1,703,rMS,day1
W1C3_segment1,46.45,0.96,62,1.33483,W1C3,2104,rMS,day1
W1C3_segment2,36.74,1.05,55,1.49691,W1C3,2104,rMS,day1
W3C1_segment1,49.91,0.93,49,0.98169,W3C1,2104,sham,day1
W3C1_segment2,51.99,1.05,64,1.23092,W3C1,2104,sham,day1
W3C4_segment1,49.62,0.82,51,1.02787,W3C4,2104,sham,day1
W3C4_segment2,47.54,0.77,56,1.17802,W3C4,2104,sham,day1
W6C2_segment1,27.04,0.82,34,1.25755,W6C2,2104,rMS,day1
W6C2_segment2,41.89,0.94,49,1.16967,W6C2,2104,rMS,day1
W8C4_segment1,51.7,0.74,68,1.31536,W8C4,2104,sham,day1
W4C1_segment1,42.29,1.1,35,0.82765,W4C1,703,rMS,day2
W4C1_segment2,47.14,0.84,52,1.10307,W4C1,703,rMS,day2
W1C3_segment1,45.06,0.97,55,1.22056,W1C3,2104,rMS,day2
W1C3_segment2,31.89,0.98,44,1.37976,W1C3,2104,rMS,day2
W3C1_segment1,51.3,0.84,49,0.95516,W3C1,2104,sham,day2
W3C1_segment2,47.83,0.87,45,0.94075,W3C1,2104,sham,day2
W3C4_segment1,55.56,0.88,55,0.98994,W3C4,2104,sham,day2
W3C4_segment2,46.94,0.83,40,0.8521,W3C4,2104,sham,day2
W6C2_segment1,34.76,0.79,54,1.55344,W6C2,2104,rMS,day2
W6C2_segment2,38.03,0.81,47,1.23587,W6C2,2104,rMS,day2
W8C4_segment1,50.51,0.69,66,1.30672,W8C4,2104,sham,day2
W4C1_segment1,36.05,0.76,40,1.1096,W4C1,703,rMS,day3
W4C1_segment2,49.22,0.84,55,1.11741,W4C1,703,rMS,day3
W1C3_segment1,49.91,0.93,63,1.26217,W1C3,2104,rMS,day3
W1C3_segment2,51.3,1.01,53,1.03313,W1C3,2104,rMS,day3
W3C1_segment1,42.49,0.82,39,0.91794,W3C1,2104,sham,day3
W3C1_segment2,48.13,0.72,47,0.97649,W3C1,2104,sham,day3
W3C4_segment1,58.83,0.86,69,1.17293,W3C4,2104,sham,day3
W3C4_segment2,47.24,0.79,44,0.93141,W3C4,2104,sham,day3
W6C2_segment1,35.65,0.78,52,1.45851,W6C2,2104,rMS,day3
W6C2_segment2,39.22,0.9,42,1.07093,W6C2,2104,rMS,day3
W8C4_segment1,49.91,0.72,64,1.2822,W8C4,2104,sham,day3
W4C1_segment1,34.66,0.86,38,1.09628,W4C1,703,rMS,day4
W4C1_segment2,49.22,0.77,54,1.0971,W4C1,703,rMS,day4
W1C3_segment1,54.07,1.05,68,1.25755,W1C3,2104,rMS,day4
W1C3_segment2,49.91,1.06,53,1.06183,W1C3,2104,rMS,day4
W3C1_segment1,41.89,0.87,42,1.00257,W3C1,2104,sham,day4
W3C1_segment2,49.91,0.77,58,1.162,W3C1,2104,sham,day4
W3C4_segment1,48.73,0.82,51,1.04668,W3C4,2104,sham,day4
W3C4_segment2,47.83,0.74,46,0.96165,W3C4,2104,sham,day4
W6C2_segment1,36.25,0.82,51,1.40701,W6C2,2104,rMS,day4
W6C2_segment2,37.44,0.93,46,1.22878,W6C2,2104,rMS,day4
W8C4_segment1,50.21,0.73,61,1.21487,W8C4,2104,sham,day4
W4C1_segment1,33.97,0.63,45,1.32473,W4C1,703,rMS,1h
W4C1_segment2,50.61,0.85,57,1.12632,W4C1,703,rMS,1h
W1C3_segment1,47.14,0.98,62,1.3152,W1C3,2104,rMS,1h
W1C3_segment2,40.21,1.01,55,1.36787,W1C3,2104,rMS,1h
W3C1_segment1,42.78,0.92,39,0.91157,W3C1,2104,sham,1h
W3C1_segment2,50.21,0.76,47,0.93605,W3C1,2104,sham,1h
W3C4_segment1,50.81,0.84,50,0.98415,W3C4,2104,sham,1h
W3C4_segment2,47.54,0.74,51,1.07284,W3C4,2104,sham,1h
W6C2_segment1,30.3,0.88,44,1.45191,W6C2,2104,rMS,1h
W6C2_segment2,36.84,0.86,45,1.22145,W6C2,2104,rMS,1h
W8C4_segment1,51.1,0.75,65,1.27195,W8C4,2104,sham,1h
W4C1_segment1,34.66,0.84,40,1.15398,W4C1,703,rMS,24h
W4C1_segment2,46.45,0.88,55,1.18412,W4C1,703,rMS,24h
W1C3_segment1,48.53,0.99,60,1.23641,W1C3,2104,rMS,24h
W1C3_segment2,45.06,0.95,56,1.24275,W1C3,2104,rMS,24h
W3C1_segment1,44.86,0.9,45,1.00305,W3C1,2104,sham,24h
W3C1_segment2,47.83,0.79,42,0.87803,W3C1,2104,sham,24h
W3C4_segment1,51.7,0.94,57,1.10258,W3C4,2104,sham,24h
W3C4_segment2,45.16,0.79,49,1.08502,W3C4,2104,sham,24h
W6C2_segment1,30.6,0.77,47,1.53584,W6C2,2104,rMS,24h
W6C2_segment2,34.46,0.95,38,1.10258,W6C2,2104,rMS,24h
W8C4_segment1,54.47,1.21,61,1.11989,W8C4,2104,sham,24h
W4C1_segment1,36.05,0.74,54,1.49796,W4C1,703,rMS,2h
W4C1_segment2,51.99,0.92,61,1.17322,W4C1,703,rMS,2h
W1C3_segment1,45.75,0.99,62,1.35506,W1C3,2104,rMS,2h
W1C3_segment2,38.82,1.05,43,1.10762,W1C3,2104,rMS,2h
W3C1_segment1,42.19,0.84,44,1.04292,W3C1,2104,sham,2h
W3C1_segment2,50.81,0.82,47,0.9251,W3C1,2104,sham,2h
W3C4_segment1,51.4,0.85,56,1.0895,W3C4,2104,sham,2h
W3C4_segment2,47.54,0.77,48,1.00974,W3C4,2104,sham,2h
W6C2_segment1,26.44,0.75,37,1.39926,W6C2,2104,rMS,2h
W6C2_segment2,35.65,0.86,42,1.17802,W6C2,2104,rMS,2h
W8C4_segment1,49.62,0.7,61,1.22942,W8C4,2104,sham,2h
W4C1_segment1,36.05,0.89,47,1.30378,W4C1,703,rMS,3h
W4C1_segment2,50.61,0.7,58,1.14608,W4C1,703,rMS,3h
W1C3_segment1,49.91,0.92,55,1.10189,W1C3,2104,rMS,3h
W1C3_segment2,49.91,1.05,50,1.00172,W1C3,2104,rMS,3h
W3C1_segment1,43.38,0.85,43,0.99129,W3C1,2104,sham,3h
W3C1_segment2,50.21,0.74,43,0.85638,W3C1,2104,sham,3h
W3C4_segment1,52.29,0.82,60,1.14743,W3C4,2104,sham,3h
W3C4_segment2,46.35,0.78,46,0.99248,W3C4,2104,sham,3h
W6C2_segment1,31.79,0.84,45,1.41552,W6C2,2104,rMS,3h
W6C2_segment2,35.65,0.93,45,1.26217,W6C2,2104,rMS,3h
W8C4_segment1,49.91,0.77,63,1.26217,W8C4,2104,sham,3h
W4C1_segment1,36.74,1,46,1.25196,W4C1,703,rMS,4h
W4C1_segment2,51.3,0.8,52,1.01363,W4C1,703,rMS,4h
W1C3_segment1,46.45,0.96,60,1.29177,W1C3,2104,rMS,4h
W1C3_segment2,47.14,0.97,51,1.08186,W1C3,2104,rMS,4h
W3C1_segment1,47.83,0.8,53,1.10799,W3C1,2104,sham,4h
W3C1_segment2,46.94,0.74,45,0.95861,W3C1,2104,sham,4h
W3C4_segment1,60.91,0.83,65,1.0672,W3C4,2104,sham,4h
W3C4_segment2,46.35,0.77,42,0.90617,W3C4,2104,sham,4h
W6C2_segment1,35.65,0.78,51,1.43046,W6C2,2104,rMS,4h
W6C2_segment2,28.52,0.86,29,1.01675,W6C2,2104,rMS,4h
W8C4_segment1,52.98,1.18,59,1.11354,W8C4,2104,sham,4h
W4C1_segment1,38.13,0.65,47,1.23266,W4C1,703,rMS,5h
W4C1_segment2,48.53,0.86,59,1.2158,W4C1,703,rMS,5h
W1C3_segment1,48.53,1.08,50,1.03034,W1C3,2104,rMS,5h
W1C3_segment2,40.9,1,51,1.24689,W1C3,2104,rMS,5h
W3C1_segment1,43.08,1.07,41,0.9517,W3C1,2104,sham,5h
W3C1_segment2,47.54,1,41,0.86248,W3C1,2104,sham,5h
W3C4_segment1,53.78,0.84,51,0.94837,W3C4,2104,sham,5h
W3C4_segment2,47.24,0.79,46,0.97375,W3C4,2104,sham,5h
W6C2_segment1,28.23,0.8,37,1.31088,W6C2,2104,rMS,5h
W6C2_segment2,33.57,0.95,39,1.16164,W6C2,2104,rMS,5h
W8C4_segment1,52.49,1.19,58,1.10499,W8C4,2104,sham,5h
W1C2_segment1,52.262,0.355,105,2.0090902,W1C2,2804,rMS,day0
W1C2_segment1,49.067,0.68,95,1.93613158,W1C2,2804,rMS,day1
W1C2_segment1,48.276,0.552,77,1.59498699,W1C2,2804,rMS,day2
W1C2_segment1,52.013,0.61,82,1.57653707,W1C2,2804,rMS,day3
W1C2_segment1,52.984,0.477,90,1.6986335,W1C2,2804,rMS,day4
W1C2_segment1,52.054,0.561,84,1.61370435,W1C2,2804,rMS,1h
W1C2_segment1,54.343,0.566,79,1.45373261,W1C2,2804,rMS,2h
W1C2_segment1,51.451,0.515,93,1.80753841,W1C2,2804,rMS,3h
W1C2_segment1,53.683,0.54,90,1.67649347,W1C2,2804,rMS,4h
W1C2_segment1,54.184,0.503,76,1.40262407,W1C2,2804,rMS,5h
W1C2_segment1,54.703,0.468,83,1.51727914,W1C2,2804,rMS,24h
W3C2_segment1,62.188,0.716,69,1.10954513,W3C2,2804,sham,day0
W3C2_segment1,59.192,0.894,63,1.06434155,W3C2,2804,sham,day1
W3C2_segment1,57.146,0.797,65,1.13744255,W3C2,2804,sham,day2
W3C2_segment1,57.794,0.775,63,1.09008061,W3C2,2804,sham,day3
W3C2_segment1,54.835,0.811,51,0.93006064,W3C2,2804,sham,day4
W3C2_segment1,60.77,1.334,44,0.72404602,W3C2,2804,sham,1h
W3C2_segment1,59.153,1.106,51,0.8621733,W3C2,2804,sham,2h
W3C2_segment1,57.199,1.166,41,0.71680109,W3C2,2804,sham,3h
W3C2_segment1,48.119,1.184,45,0.93518871,W3C2,2804,sham,4h
W3C2_segment1,56.442,1.083,55,0.97445572,W3C2,2804,sham,5h
W3C2_segment1,59.24,1.057,69,1.16476089,W3C2,2804,sham,24h
W4C1_segment1,45.224,0.879,65,1.43730021,W4C1,2804,sham,day0
W4C1_segment2,57.359,0.818,100,1.74339585,W4C1,2804,sham,day0
W4C1_segment1,45.933,0.688,52,1.13209062,W4C1,2804,sham,day1
W4C1_segment2,63.436,0.583,109,1.71825492,W4C1,2804,sham,day1
W4C1_segment1,46.513,0.995,46,0.98897969,W4C1,2804,sham,day2
W4C1_segment2,45.192,0.897,81,1.79233532,W4C1,2804,sham,day2
W4C1_segment1,35.25,0.91,28,0.79432633,W4C1,2804,sham,day3
W4C1_segment2,46.89,0.926,61,1.3009309,W4C1,2804,sham,day3
W4C1_segment1,39.996,0.735,49,1.22511779,W4C1,2804,sham,day4
W4C1_segment2,57.49,0.685,78,1.35675389,W4C1,2804,sham,day4
W4C1_segment1,33.826,1.175,30,0.88690092,W4C1,2804,sham,1h
W4C1_segment2,48.983,1.131,61,1.24533638,W4C1,2804,sham,1h
W4C1_segment1,35.499,0.865,60,1.69019133,W4C1,2804,sham,2h
W4C1_segment2,50.711,0.889,93,1.83393917,W4C1,2804,sham,2h
W4C1_segment1,38.746,0.755,65,1.6776123,W4C1,2804,sham,3h
W4C1_segment2,51.589,0.741,74,1.43441597,W4C1,2804,sham,3h
W4C1_segment1,34.62,0.75,48,1.38646938,W4C1,2804,sham,4h
W4C1_segment2,53.018,0.75,72,1.35803769,W4C1,2804,sham,4h
W4C1_segment1,33.334,0.768,38,1.1399632,W4C1,2804,sham,5h
W4C1_segment2,50.701,0.759,98,1.93290867,W4C1,2804,sham,5h
W4C1_segment1,35.669,0.715,34,0.9532039,W4C1,2804,sham,24h
W4C1_segment2,50.613,0.735,94,1.85722887,W4C1,2804,sham,24h
W6C2_segment2,53.319,1.001,39,0.73144845,W6C2,2804,rMS,day0
W6C2_segment1,32.469,1.028,21,0.64677757,W6C2,2804,rMS,day0
W6C2_segment1,32.749,1.052,23,0.70230386,W6C2,2804,rMS,day1
W6C2_segment2,41.944,1.136,22,0.52451346,W6C2,2804,rMS,day1
W6C2_segment1,32.869,0.967,27,0.8214408,W6C2,2804,rMS,day2
W6C2_segment2,46.492,1.02,28,0.60225377,W6C2,2804,rMS,day2
W6C2_segment1,33.048,1.005,22,0.66570252,W6C2,2804,rMS,day3
W6C2_segment2,51.075,1.031,35,0.68526657,W6C2,2804,rMS,day3
W6C2_segment1,31.917,1.021,16,0.50130573,W6C2,2804,rMS,day4
W6C2_segment2,50.831,1.072,28,0.55084763,W6C2,2804,rMS,day4
W6C2_segment1,34.278,1.224,20,0.58347121,W6C2,2804,rMS,1h
W6C2_segment2,52.456,1.207,19,0.36220505,W6C2,2804,rMS,1h
W6C2_segment1,32.605,1.237,20,0.61340241,W6C2,2804,rMS,2h
W6C2_segment2,53.249,1.339,18,0.33803292,W6C2,2804,rMS,2h
W6C2_segment1,32.907,1.307,10,0.30388621,W6C2,2804,rMS,3h
W6C2_segment2,49.609,1.291,18,0.36284087,W6C2,2804,rMS,3h
W6C2_segment1,32.978,0.918,18,0.54581683,W6C2,2804,rMS,4h
W6C2_segment2,49.453,0.921,25,0.50552649,W6C2,2804,rMS,4h
W6C2_segment1,31.818,1.016,17,0.53429291,W6C2,2804,rMS,5h
W6C2_segment2,50.675,1.067,23,0.45387505,W6C2,2804,rMS,5h
W6C2_segment1,32.583,1.193,11,0.33760302,W6C2,2804,rMS,24h
W6C2_segment2,49.761,1.132,20,0.40191793,W6C2,2804,rMS,24h
W9C1_segment1,29.378,1.061,36,1.22541899,W9C1,2804,rMS,day0
W9C1_segment2,50.05,1.017,46,0.91908619,W9C1,2804,rMS,day0
W9C1_segment3,46.953,1.041,45,0.95839825,W9C1,2804,rMS,day0
W9C1_segment4,54.228,0.94,60,1.10643818,W9C1,2804,rMS,day0
W9C1_segment1,33.204,1.018,37,1.11431219,W9C1,2804,rMS,day1
W9C1_segment2,47.33,1.145,38,0.80287145,W9C1,2804,rMS,day1
W9C1_segment3,47.218,0.985,48,1.01656905,W9C1,2804,rMS,day1
W9C1_segment4,53.39,0.933,61,1.1425426,W9C1,2804,rMS,day1
W9C1_segment1,28.9,0.864,37,1.28025836,W9C1,2804,rMS,day2
W9C1_segment2,52.672,0.859,68,1.29100855,W9C1,2804,rMS,day2
W9C1_segment3,49.524,0.822,80,1.61538099,W9C1,2804,rMS,day2
W9C1_segment4,56.779,0.792,79,1.3913593,W9C1,2804,rMS,day2
W9C1_segment1,28.033,0.846,37,1.31985125,W9C1,2804,rMS,day3
W9C1_segment2,49.47,0.814,39,0.78835545,W9C1,2804,rMS,day3
W9C1_segment3,45.903,0.874,70,1.52496525,W9C1,2804,rMS,day3
W9C1_segment4,55.07,0.807,72,1.30742017,W9C1,2804,rMS,day3
W9C1_segment1,27.178,0.987,46,1.69257007,W9C1,2804,rMS,day4
W9C1_segment2,49.625,1.096,49,0.9874047,W9C1,2804,rMS,day4
W9C1_segment3,46.177,1.005,61,1.32100459,W9C1,2804,rMS,day4
W9C1_segment4,54.699,0.912,84,1.53567872,W9C1,2804,rMS,day4
W9C1_segment1,25.946,0.806,34,1.3104002,W9C1,2804,rMS,1h
W9C1_segment2,48.752,0.86,50,1.02560709,W9C1,2804,rMS,1h
W9C1_segment3,45.729,0.845,56,1.22461305,W9C1,2804,rMS,1h
W9C1_segment4,55.397,0.82,71,1.28166341,W9C1,2804,rMS,1h
W9C1_segment1,26.533,1.047,25,0.94221185,W9C1,2804,rMS,2h
W9C1_segment2,50.548,1.206,41,0.81110869,W9C1,2804,rMS,2h
W9C1_segment3,46.108,1.051,47,1.01934723,W9C1,2804,rMS,2h
W9C1_segment4,55.091,0.965,83,1.5065848,W9C1,2804,rMS,2h
W9C1_segment1,26.682,0.783,32,1.19930133,W9C1,2804,rMS,3h
W9C1_segment2,49.922,0.836,60,1.2018764,W9C1,2804,rMS,3h
W9C1_segment3,46.676,0.803,63,1.3497358,W9C1,2804,rMS,3h
W9C1_segment4,57.536,0.752,67,1.16449731,W9C1,2804,rMS,3h
W9C1_segment1,33.807,0.842,39,1.15362108,W9C1,2804,rMS,4h
W9C1_segment2,48.305,0.891,51,1.05579823,W9C1,2804,rMS,4h
W9C1_segment3,46.795,0.845,74,1.58134938,W9C1,2804,rMS,4h
W9C1_segment4,55.035,0.8,89,1.61716052,W9C1,2804,rMS,4h
W9C1_segment1,27.228,0.794,36,1.32217224,W9C1,2804,rMS,5h
W9C1_segment2,49.85,0.86,54,1.08323983,W9C1,2804,rMS,5h
W9C1_segment3,47.543,0.793,78,1.64061051,W9C1,2804,rMS,5h
W9C1_segment4,56.265,0.778,77,1.36852301,W9C1,2804,rMS,5h
W9C1_segment1,26.464,0.99,32,1.20920948,W9C1,2804,rMS,24h
W9C1_segment2,47.542,1.112,44,0.92549342,W9C1,2804,rMS,24h
W9C1_segment3,44.672,1.006,59,1.32074827,W9C1,2804,rMS,24h
W9C1_segment4,55.048,0.971,83,1.50776844,W9C1,2804,rMS,24h
